country,country_per_diff
Canada,0.27
Chile,0.01
Colombia,0.17
Costa Rica,0.29
Mexico,0.15
Poland,0.29
Romania,-0.24
Spain,-0.08
Denmark,0
Honduras,0
Dominican Republic,0
France,0
Germany,0
Austria,0
Lithuania,0
Albania,0
Guatemala,0
Serbia,0
Paraguay,0
Russia,0
Turkey,0
Armenia,0
Bulgaria,0
El Salvador,0
Ireland,0
Ecuador,0
Croatia,0
Hungary,0
Nicaragua,0
Estonia,0
Panama,0
Italy,0
Norway,0
Portugal,0
Belgium,0
Georgia,0
Peru,0
Venezuela,0
United States,0
Switzerland,0
Malta,0
United Kingdom,0
Belize,0
Cuba,0
Azerbaijan,0
North Macedonia,0
Argentina,0
Greece,0
Bolivia,0
Netherlands,0
Finland,0
Belarus,0
Brazil,0
Uruguay,0
Ukraine,0
Moldova,0
Sweden,0
Czechia,0
